,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10816,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19622012.0,19622012.0,False,,1,,,,2024-02-08T15:12:00.000Z,44980.79712005394,26979001006.632988,68.1391,-0.33737792,4.71951441,5.24405328,-3.45853582,2.5776047,21.04463703,882613740859.2638,51.3242,944596739521.13,,2024-02-08T15:12:00.000Z,,,,,,2024-02-08 16:13:15.133203
1,1027,Ethereum,ETH,ethereum,8391,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120180272.95157084,120180272.95157084,True,,2,,,,2024-02-08T15:12:00.000Z,2432.1514009957677,10430939585.551437,20.9016,-0.04423194,2.93688173,5.5093047,7.74281573,3.64848253,16.48439959,292296619231.2168,16.9971,292296619231.22,,2024-02-08T15:12:00.000Z,,,,,,2024-02-08 16:13:15.133203
2,825,Tether USDt,USDT,tether,74388,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96186132537.35936,99600626149.74507,True,,3,,,,2024-02-08T15:11:00.000Z,0.9997552416280011,42804452833.44041,39.6526,0.00856436,0.01311316,0.01191516,-0.06537262,-0.02907351,-0.09520214,96162590176.15065,5.584,99576248062.64,,2024-02-08T15:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-08 16:13:15.133203
3,1839,BNB,BNB,bnb,2056,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149545847.5586554,149545847.5586554,False,,4,,,,2024-02-08T15:11:00.000Z,318.76169707976675,1124665446.2420313,59.046,0.32384405,5.22548518,5.77162313,6.58332894,32.37178003,27.62920611,47669488159.02909,2.7681,47669488159.03,,2024-02-08T15:11:00.000Z,,,,,,2024-02-08 16:13:15.133203
4,5426,Solana,SOL,solana,625,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,436868796.1185955,569043047.7151543,True,,5,,,,2024-02-08T15:12:00.000Z,104.26370965548271,2540271252.2494907,87.9562,0.10136031,9.31579943,7.27762654,4.95634896,40.78352227,103.95055555,45549561316.049515,2.6487,59330539108.44,,2024-02-08T15:12:00.000Z,,,,,,2024-02-08 16:13:15.133203
5,52,XRP,XRP,xrp,1226,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54436190886.0,99987935982.0,False,,6,,,,2024-02-08T15:12:00.000Z,0.5149013155775516,947606127.9350675,13.67,-0.2283613,2.64313849,2.58864139,-7.89781866,-22.11121373,-20.3565137,28029266302.232124,1.6299,51490131557.76,,2024-02-08T15:12:00.000Z,,,,,,2024-02-08 16:13:15.133203
6,3408,USDC,USDC,usd-coin,16628,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,27531910576.53332,27531910576.53332,False,,7,,,,2024-02-08T15:12:00.000Z,0.9999816760345904,6316864565.18011,31.7937,0.01056575,-0.00287917,-0.04663179,-0.02571657,-0.0217681,-0.02328211,27531406082.756256,1.6001,27531406082.76,,2024-02-08T15:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-02-08 16:13:15.133203
7,2010,Cardano,ADA,cardano,1067,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35438628837.108,36599737145.585,False,,8,,,,2024-02-08T15:11:00.000Z,0.5315264542608364,668195789.4603759,59.1589,0.23098798,10.7200641,7.09693159,4.49867566,-10.78823671,44.99271672,18836568729.653847,1.0938,23918690441.74,,2024-02-08T15:11:00.000Z,,,,,,2024-02-08 16:13:15.133203
8,5805,Avalanche,AVAX,avalanche,660,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,367457197.6184947,435490107.6184947,False,,9,,,,2024-02-08T15:11:00.000Z,35.91580766051271,532981402.9414965,63.6648,0.29224414,4.92889465,6.38017377,1.40250601,8.42156905,172.55539113,13197522033.136866,0.7664,25859381515.57,,2024-02-08T15:11:00.000Z,,,,,,2024-02-08 16:13:15.133203
9,74,Dogecoin,DOGE,dogecoin,888,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142988896383.7052,142988896383.7052,True,,10,,,,2024-02-08T15:12:00.000Z,0.08049865339800723,259549667.44760203,45.5422,0.12799784,2.28044417,1.57606398,3.69814453,-19.85452835,9.58493685,11510413609.755453,0.6693,11510413609.76,,2024-02-08T15:12:00.000Z,,,,,,2024-02-08 16:13:15.133203
